Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,78.2828,-45.3644,-90.0,top
C2,0.1uF,C_0805_2012Metric,96.581,-39.1414,0.0,top
C3,10uF,C_0805_2012Metric,94.488,-52.4764,-90.0,top
C4,10uF,C_0805_2012Metric,89.6112,-45.8216,180.0,top
D1,GREEN_LED,LED_0805_2012Metric,95.3516,-47.752,180.0,top
D2,RED_LED,LED_0805_2012Metric,95.3516,-45.7708,180.0,top
R1,3k3,R_0805_2012Metric,84.5798,-48.3616,90.0,top
R2,100R,R_0805_2012Metric,98.552,-51.1048,90.0,top
R3,100R,R_0805_2012Metric,96.4692,-51.1556,90.0,top
SW1,SW_DPDT_x2,mySwitch,82.6876,-47.74415,0.0,top
U1,DRV8837C,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,96.261,-42.5514,0.0,top
U2,DRV8837C,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,75.95,-45.4,-90.0,top
U3,TP4056,SOP127P600X175-9N,89.6598,-49.6316,0.0,top
